Düğüm,Gerçek grup,Derece,Kümelenme,Derece merkeziliği,Aradalık merkeziliği,Yakınlık merkeziliği,Özvektör merkeziliği,GN topluluğu
1,Mr. Hi,16,0.15,0.48484848484848486,0.43763528138528146,0.5689655172413793,0.35548349418519426,1
2,Mr. Hi,9,0.3333333333333333,0.2727272727272727,0.053936688311688304,0.4852941176470588,0.2659538704545024,1
3,Mr. Hi,10,0.24444444444444444,0.30303030303030304,0.14365680615680618,0.559322033898305,0.3171893899684447,2
4,Mr. Hi,6,0.6666666666666666,0.18181818181818182,0.011909271284271283,0.4647887323943662,0.21117407832057056,1
5,Mr. Hi,3,0.6666666666666666,0.09090909090909091,0.0006313131313131313,0.3793103448275862,0.0759664588165738,1
6,Mr. Hi,4,0.5,0.12121212121212122,0.02998737373737374,0.38372093023255816,0.07948057788594245,1
7,Mr. Hi,4,0.5,0.12121212121212122,0.029987373737373736,0.38372093023255816,0.07948057788594245,1
8,Mr. Hi,4,1.0,0.12121212121212122,0.0,0.44,0.1709551149803543,1
9,Mr. Hi,5,0.5,0.15151515151515152,0.05592682780182781,0.515625,0.22740509147166046,2
10,Officer,2,0.0,0.06060606060606061,0.0008477633477633478,0.4342105263157895,0.10267519030637756,2
11,Mr. Hi,3,0.6666666666666666,0.09090909090909091,0.0006313131313131313,0.3793103448275862,0.0759664588165738,1
12,Mr. Hi,1,0.0,0.030303030303030304,0.0,0.36666666666666664,0.05285416945233646,1
13,Mr. Hi,2,1.0,0.06060606060606061,0.0,0.3707865168539326,0.08425192086558085,1
14,Mr. Hi,5,0.6,0.15151515151515152,0.04586339586339586,0.515625,0.22646969838808145,1
15,Officer,2,1.0,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270832,2
16,Officer,2,1.0,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270832,2
17,Mr. Hi,2,1.0,0.06060606060606061,0.0,0.28448275862068967,0.02363479426059687,1
18,Mr. Hi,2,1.0,0.06060606060606061,0.0,0.375,0.0923967566684595,1
19,Officer,2,1.0,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270832,2
20,Mr. Hi,3,0.3333333333333333,0.09090909090909091,0.03247504810004811,0.5,0.14791134007618667,1
21,Officer,2,1.0,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270832,2
22,Mr. Hi,2,1.0,0.06060606060606061,0.0,0.375,0.0923967566684595,1
23,Officer,2,1.0,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270832,2
24,Officer,5,0.4,0.15151515151515152,0.017613636363636363,0.39285714285714285,0.15012328691726787,2
25,Officer,3,0.3333333333333333,0.09090909090909091,0.0022095959595959595,0.375,0.057053735638028055,2
26,Officer,3,0.3333333333333333,0.09090909090909091,0.0038404882154882154,0.375,0.0592082025027901,2
27,Officer,2,1.0,0.06060606060606061,0.0,0.3626373626373626,0.07558192219009324,2
28,Officer,4,0.16666666666666666,0.12121212121212122,0.02233345358345358,0.4583333333333333,0.13347932684333308,2
29,Officer,3,0.3333333333333333,0.09090909090909091,0.0017947330447330447,0.4520547945205479,0.13107925627221215,2
30,Officer,4,0.6666666666666666,0.12121212121212122,0.0029220779220779218,0.38372093023255816,0.13496528673866567,2
31,Officer,4,0.5,0.12121212121212122,0.014411976911976909,0.4583333333333333,0.17476027834493088,2
32,Officer,6,0.2,0.18181818181818182,0.13827561327561325,0.5409836065573771,0.191036269797917,2
33,Officer,12,0.19696969696969696,0.36363636363636365,0.145247113997114,0.515625,0.3086510477336959,2
34,Officer,17,0.11029411764705882,0.5151515151515151,0.30407497594997596,0.55,0.37337121301323506,2
